Date,Weekly_Sales
2012-11-02,11850.26
2012-11-09,12627.28
2012-11-16,15691.83
2012-11-23,35054.62
2012-11-30,15316.64
2012-12-07,19780.15
2012-12-14,24934.83
2012-12-21,40955.19
2012-12-28,21292.89
2013-01-04,12124.92
2013-01-11,11083.8
2013-01-18,9643.79
2013-01-25,9307.45
2013-02-01,13378.4
2013-02-08,15235.52
2013-02-15,17406.66
2013-02-22,14989.76
2013-03-01,15896.44
2013-03-08,13130.23
2013-03-15,10006.29
2013-03-22,9893.63
2013-03-29,11251.33
2013-04-05,11808.82
2013-04-12,10905.037
2013-04-19,9897.75
2013-04-26,10779.64
2013-05-03,12075.91
2013-05-10,11478.85
2013-05-17,11389.61
2013-05-24,9778.71
2013-05-31,10463.51
2013-06-07,8657.99
2013-06-14,9475.59
2013-06-21,8774.467
2013-06-28,11455.35
2013-07-05,12823.009
2013-07-12,9159.772
2013-07-19,7284.9856
2013-07-26,7512.98
